# Comment census at dffbcd0 — the opening measurement of the comment pass.
#
# Produced by `weld_lint census`, whose figures were confronted with an
# independently written probe and agree on every quantity: 330 files, 127176
# code lines, 50970 comment lines, 29925 doc lines, 13096 blocks.
#
# Columns, tab-separated:
#   code  comment  doc  blocks  density  path
#
# A line is a COMMENT line when its first non-whitespace bytes are `//`, a CODE
# line when it is non-blank and not a comment line; blank lines are in neither,
# and `density` is comment / (comment + code) in percent. A BLOCK is a maximal
# run of consecutive comment lines — the unit of judgement.
#
# This file is the `before` half of the per-file report. Nothing in it is a
# threshold, a target or a gate.
45	12	12	4	21.05	src/modules/asset_pipeline/importers/png.zig
49	10	9	5	16.95	src/modules/asset_pipeline/importers/gltf.zig
74	18	18	5	19.57	src/modules/asset_pipeline/uuid.zig
24	11	10	4	31.43	src/modules/asset_pipeline/hash.zig
304	127	87	50	29.47	src/modules/asset_pipeline/loader/Loader.zig
4	2	2	2	33.33	src/modules/asset_pipeline/loader/root.zig
238	93	82	40	28.10	src/modules/asset_pipeline/registry/Registry.zig
7	7	5	4	50.00	src/modules/asset_pipeline/registry/root.zig
43	24	23	11	35.82	src/modules/asset_pipeline/registry/asset_handle.zig
47	43	42	25	47.78	src/modules/asset_pipeline/format/asset_type.zig
486	86	82	46	15.03	src/modules/asset_pipeline/format/intermediate.zig
225	83	78	37	26.95	src/modules/asset_pipeline/format/runtime_bin.zig
17	19	17	12	52.78	src/modules/asset_pipeline/format/root.zig
27	54	52	18	66.67	src/modules/asset_pipeline/root.zig
50	8	8	2	13.79	src/modules/asset_pipeline/cookers/mesh.zig
32	11	11	5	25.58	src/modules/asset_pipeline/cookers/common.zig
11	10	10	6	47.62	src/modules/asset_pipeline/cookers/root.zig
13	7	7	2	35.00	src/modules/asset_pipeline/cookers/audio.zig
11	6	6	2	35.29	src/modules/asset_pipeline/cookers/texture.zig
195	69	60	30	26.14	src/modules/render/instancing/batcher.zig
38	32	27	9	45.71	src/modules/render/render_graph/passes/depth_prepass.zig
51	36	32	8	41.38	src/modules/render/render_graph/passes/capture.zig
48	33	27	10	40.74	src/modules/render/render_graph/passes/forward.zig
42	30	30	15	41.67	src/modules/render/render_graph/pass.zig
285	81	56	23	22.13	src/modules/render/render_graph/graph.zig
215	41	29	17	16.02	src/modules/render/gal/interface.zig
70	59	47	22	45.74	src/modules/render/gal/escape_hatches.zig
115	24	24	5	17.27	src/modules/render/gal/null/stubs.zig
260	56	42	18	17.72	src/modules/render/gal/null/device.zig
216	42	42	20	16.28	src/modules/render/gal/vulkan/conv.zig
12	13	13	3	52.00	src/modules/render/gal/vulkan/queue.zig
233	67	42	12	22.33	src/modules/render/gal/vulkan/swapchain.zig
192	36	20	15	15.79	src/modules/render/gal/vulkan/bind_group.zig
65	39	35	5	37.50	src/modules/render/gal/vulkan/surface.zig
57	27	27	8	32.14	src/modules/render/gal/vulkan/frame.zig
162	34	22	8	17.35	src/modules/render/gal/vulkan/render_pass.zig
